지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
100,대관령,2006-01-01 13:00,-3,0,,,7.4,0,250,0,82,0,,,,9,,9,0,0,0.56,0.8,,,,,,,,19,,9,,,,
100,대관령,2006-01-01 14:00,-3.4,0,,,8.2,0,250,0,85,0,,,,9,,9,0,0,0.47,,,,,,,,,19,,9,,,,
100,대관령,2006-01-01 15:00,-3.2,0,,,9.9,0,250,0,80,0,3.7,-6.6,917.4,0,1019.4,0,0,0,0.64,0.7,,10,6,StAs,2,300,16,19,-1.8,0,,,,
100,대관령,2006-01-01 16:00,-3.2,0,,,9.9,0,250,0,80,0,,,,9,,9,0,0,0.64,0.7,,,,,,,,19,,9,,,,
100,대관령,2006-01-01 17:00,-3.8,0,,,9.9,0,250,0,85,0,,,,9,,9,0,0,0.15,,,,,,,,,19,,9,,,,
100,대관령,2006-01-01 18:00,-4,0,,,7.9,0,250,0,82,0,3.6,-7.1,917.1,0,1019.3,0,0,0,0.01,0.7,,10,6,StAs,2,300,,19,,9,,,,
100,대관령,2006-01-01 19:00,-4.1,0,,,9.2,0,250,0,82,0,,,,9,,9,,9,,,,,,,,,,19,,9,,,,
100,대관령,2006-01-01 20:00,-4.1,0,,,8.7,0,250,0,84,0,,,,9,,9,,9,,,,,,,,,,19,,9,,,,
100,대관령,2006-01-01 21:00,-4.3,0,,,8.3,0,250,0,84,0,3.6,-7.2,916.9,0,1019.3,0,,9,,0.7,,10,6,StAs,2,120,16,19,-4.3,0,,,,
100,대관령,2006-01-01 22:00,-4.7,0,,,6.8,0,270,0,85,0,,,,9,,9,,9,,,,,,,,,,19,,9,,,,
100,대관령,2006-01-01 23:00,-4.7,0,,,6.4,0,270,0,84,0,,,,9,,9,,9,,,,,,,,,,19,,9,,,,
100,대관령,2006-01-02 0:00,-5,0,,,7,0,270,0,84,0,3.4,-7.9,917.6,0,1020.3,0,,9,,0.7,,3,3,Sc,4,120,,19,,9,,,,
100,대관령,2006-01-02 1:00,-5.6,0,,,5.1,0,270,0,84,0,,,,9,,9,,9,,,,,,,,,,19,,9,,,,
100,대관령,2006-01-02 2:00,-5.8,0,,,6.6,0,270,0,85,0,,,,9,,9,,9,,,,,,,,,,19,,9,,,,
100,대관령,2006-01-02 3:00,-6.1,0,,,5.1,0,270,0,83,0,3,-9.3,917.3,0,1020.5,0,,9,,0.7,,0,0,,,120,16,19,-6.5,0,,,,
100,대관령,2006-01-02 4:00,-5.7,0,,,7,0,250,0,81,0,,,,9,,9,,9,,,,,,,,,,19,,9,,,,
100,대관령,2006-01-02 5:00,-5.9,0,,,8.3,0,250,0,79,0,,,,9,,9,,9,,,,,,,,,,19,,9,,,,
100,대관령,2006-01-02 6:00,-6.2,0,,,6.2,0,250,0,79,0,2.9,-10.1,916.3,0,1019.4,0,,9,,0.7,,0,0,,,120,,19,,9,,,,
100,대관령,2006-01-02 7:00,-6.6,0,,,5.5,0,250,0,83,0,,,,9,,9,,9,,,,,,,,,,19,,9,,,,
100,대관령,2006-01-02 8:00,-6.5,0,,,5.6,0,270,0,84,0,,,,9,,9,0,0,0.02,,,,,,,,,,,9,,,,
100,대관령,2006-01-02 9:00,-4.6,0,,,6,0,270,0,71,0,2.9,-9.7,916.7,0,1019.1,0,0.9,0,0.38,0.7,,0,0,,,1500,16,,-6.5,0,,,,
100,대관령,2006-01-02 10:00,-2.9,0,,,6.7,0,250,0,58,0,,,,9,,9,1,0,1.08,0.7,,,,,,,,,,9,,,,
100,대관령,2006-01-02 11:00,-2.1,0,,,7.9,0,250,0,50,0,,,,9,,9,1,0,1.56,0.6,,,,,,,,,,9,,,,
100,대관령,2006-01-02 12:00,-0.9,0,,9,7.8,0,250,0,45,0,2.6,-11.5,915.4,0,1016.2,0,1,0,1.84,0.6,,0,0,,,1800,,,,9,,,,
100,대관령,2006-01-02 13:00,-0.3,0,,9,8.8,0,250,0,34,0,,,,9,,9,1,0,1.92,0.6,,,,,,,,,,9,,,,
100,대관령,2006-01-02 14:00,-0.7,0,,9,8.9,0,250,0,34,0,,,,9,,9,1,0,1.77,0.5,,,,,,,,,,9,,,,
100,대관령,2006-01-02 15:00,-1.3,0,,9,9.5,0,250,0,46,0,2.5,-11.7,913.4,0,1014.1,0,1,0,1.44,0.4,,0,0,,,1200,16,,-0.1,0,,,,
100,대관령,2006-01-02 16:00,-2.1,0,,9,8.8,0,250,0,49,0,,,,9,,9,1,0,0.83,0.4,,,,,,,,,,9,,,,
100,대관령,2006-01-02 17:00,-3.5,0,,9,9.7,0,250,0,49,0,,,,9,,9,0.6,0,0.3,0.4,,,,,,,,,,9,,,,
100,대관령,2006-01-02 18:00,-4.5,0,,9,9.8,0,250,0,59,0,2.5,-11.9,913.6,0,1015.7,0,0,0,0.01,0.4,,1,1,Sc,5,1200,,,,9,,,,
100,대관령,2006-01-02 19:00,-4.9,0,,9,8.3,0,250,0,67,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-02 20:00,-5.2,0,,9,5.4,0,270,0,70,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-02 21:00,-5.7,0,,9,5,0,250,0,70,0,2.6,-11,914.9,0,1017.6,0,,9,,0.4,,2,2,Sc,5,1500,16,,-6.7,0,,,,
100,대관령,2006-01-02 22:00,-6.3,0,,,5,0,270,0,67,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-02 23:00,-7,0,,,8.4,0,250,0,64,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 0:00,-7.7,0,,,6.4,0,250,0,66,0,2.1,-14,914.6,0,1018.2,0,,9,,0.4,,2,2,Sc,5,1500,,,,9,,,,
100,대관령,2006-01-03 1:00,-8.4,0,,,7.4,0,250,0,66,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 2:00,-9.2,0,,,7.1,0,250,0,61,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 3:00,-9.6,0,,,7.7,0,250,0,61,0,1.6,-17,915.9,0,1020.3,0,,9,,0.4,,2,2,Sc,5,1500,16,,-9.9,0,,,,
100,대관령,2006-01-03 4:00,-10.2,0,,,6.6,0,250,0,63,0,,,,9,,9,,9,,0.4,,,,,,,,,,9,,,,
100,대관령,2006-01-03 5:00,-10.6,0,,,8.6,0,250,0,62,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 6:00,-10.9,0,,,8.6,0,250,0,62,0,1.5,-18.2,916,0,1021.1,0,,9,,0.4,,2,2,Sc,5,1200,,,,9,,,,
100,대관령,2006-01-03 7:00,-11.1,0,,,8.8,0,250,0,59,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 8:00,-11,0,,,8.5,0,250,0,50,0,,,,9,,9,0,0,0.02,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 9:00,-9.2,0,,,6.6,0,250,0,43,0,1.2,-20.7,917.9,0,1022.4,0,0.9,0,0.38,0.4,,0,0,,,1800,16,,-10.6,0,,,,
100,대관령,2006-01-03 10:00,-7,0,,,7.3,0,250,0,32,0,,,,9,,9,1,0,0.98,0.4,,,,,,,,,,9,,,,
100,대관령,2006-01-03 11:00,-5.3,0,,,6.7,0,250,0,27,0,,,,9,,9,1,0,1.5,0.3,,,,,,,,,,9,,,,
100,대관령,2006-01-03 12:00,-4,0,,,6.6,0,250,0,22,0,1,-23.3,917.1,0,1019.4,0,1,0,1.8,0.3,,0,0,,,2000,,,,9,,,,
100,대관령,2006-01-03 13:00,-3.1,0,,,6.7,0,250,0,22,0,,,,9,,9,1,0,1.89,0.2,,,,,,,,,,9,,,,
100,대관령,2006-01-03 14:00,-2.8,0,,,7,0,250,0,20,0,,,,9,,9,1,0,1.76,0.1,,,,,,,,,,9,,,,
100,대관령,2006-01-03 15:00,-3.3,0,,,7.4,0,250,0,20,0,0.9,-23.7,916.5,0,1018.4,0,1,0,1.44,,,0,0,,,2000,15,,0.8,0,,,,
100,대관령,2006-01-03 16:00,-3.5,0,,,5.7,0,250,0,19,0,,,,9,,9,1,0,0.9,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 17:00,-5.1,0,,,6.6,0,250,0,23,0,,,,9,,9,1,0,0.36,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 18:00,-6.4,0,,,7,0,250,0,25,0,0.9,-24.2,917.9,0,1021.3,0,0,0,0.02,,,0,0,,,1800,,,,9,,,,
100,대관령,2006-01-03 19:00,-7.2,0,,,5.1,0,270,0,28,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 20:00,-7.8,0,,,5,0,270,0,32,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 21:00,-8.5,0,,,5.4,0,270,0,37,0,1.1,-21.8,917.9,0,1022.1,0,,9,,,,0,0,,,1800,15,,-9.1,0,,,,
100,대관령,2006-01-03 22:00,-9.2,0,,,5.2,0,270,0,40,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-03 23:00,-9.5,0,,,4.2,0,270,0,43,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 0:00,-9.6,0,,,5,0,270,0,45,0,1.2,-20.6,918.9,0,1023.7,0,,9,,,,7,0,Ci,,1800,,,,9,,,,
100,대관령,2006-01-04 1:00,-9.8,0,,,4.5,0,270,0,48,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 2:00,-9.9,0,,,4.2,0,270,0,49,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 3:00,-10,0,,,4,0,270,0,52,0,1.4,-19.3,919.1,0,1024.2,0,,9,,,,7,0,Ci,,1500,15,,-8.9,0,,,,
100,대관령,2006-01-04 4:00,-10.1,0,,,4.2,0,270,0,54,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 5:00,-10.4,0,,,3.5,0,270,0,53,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 6:00,-11,0,,,4.1,0,270,0,55,0,1.3,-19.7,919,0,1024.5,0,,9,,,,7,0,Ci,,1500,,,,9,,,,
100,대관령,2006-01-04 7:00,-11.1,0,,,4.6,0,270,0,52,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 8:00,-11.5,0,,,4.8,0,270,0,54,0,,,,9,,9,0,0,0.01,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 9:00,-11.3,0,,,4.8,0,270,0,54,0,1.2,-20.2,919.1,0,1024.7,0,0,0,0.17,,,10,6,ScAs,5,1500,15,,-9.4,0,,,,
100,대관령,2006-01-04 10:00,-10.1,0,,,4.6,0,250,0,47,0,,,,9,,9,0.1,0,0.49,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 11:00,-8.7,0,,,4.9,0,270,0,37,0,,,,9,,9,0.1,0,0.83,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 12:00,-7.9,0,,,6,0,250,0,31,0,1,-23.2,918.4,0,1022.4,0,0.2,0,1.07,,,9,4,ScAc,5,1200,,,,9,,,,
100,대관령,2006-01-04 13:00,-7.2,0,,,5.3,0,270,0,29,0,,,,9,,9,0.3,0,1.17,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 14:00,-7.4,0,,,5,0,250,0,30,0,,,,9,,9,0.7,0,1.21,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 15:00,-8.4,0,,,5.1,0,250,0,34,0,1,-22.7,917.8,0,1022,0,0,0,0.75,,,10,4,ScAs,5,1200,15,,-3.5,0,,,,
100,대관령,2006-01-04 16:00,-9.2,0,,,4.5,0,250,0,40,0,,,,9,,9,0,0,0.44,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 17:00,-10,0,,,3.4,0,250,0,42,0,,,,9,,9,0,0,0.18,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 18:00,-10.6,0,,,2.5,0,270,0,41,0,1,-22.7,918.6,0,1023.8,0,0,0,0,,,10,5,ScAs,5,1200,,,,9,,,,
100,대관령,2006-01-04 19:00,-11.1,0,,,3.1,0,270,0,39,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 20:00,-11.7,0,,,3,0,270,0,40,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 21:00,-11.8,0,,,2.2,0,270,0,38,0,0.8,-24.8,919.3,0,1025.1,0,,9,,,,10,5,ScAs,4,1200,15,,-9.9,0,,,,
100,대관령,2006-01-04 22:00,-12.2,0,,,0.9,0,290,0,41,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-04 23:00,-12.2,0,,,1.5,0,290,0,41,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 0:00,-12.3,0,,,0.8,0,270,0,48,0,1,-22.7,920.4,0,1026.6,0,,9,,,,10,5,ScAs,4,1200,,,,9,,,,
100,대관령,2006-01-05 1:00,-12.3,0,,,0.6,0,270,0,49,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 2:00,-13.3,0,,,0.7,0,270,0,53,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 3:00,-13,0,,,0.4,0,0,0,53,0,1.1,-22.3,920.9,0,1027.3,0,,9,,,,10,6,ScAs,4,1200,15,,-10.1,0,,,,
100,대관령,2006-01-05 4:00,-12.8,0,,,0.1,0,0,0,54,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 5:00,-13.9,0,,,0.1,0,0,0,66,0,,,,9,,9,,9,,,,,,,,,,5,,9,,,,
100,대관령,2006-01-05 6:00,-15.4,0,0,0,0.1,0,0,0,75,0,1.2,-20.8,920.3,0,1027.8,0,,9,,,,6,6,Sc,3,1000,,5,,9,,,,
100,대관령,2006-01-05 7:00,-16.3,0,,,1.4,0,270,0,78,0,,,,9,,9,,9,,,,,,,,,,5,,9,,,,
100,대관령,2006-01-05 8:00,-14.7,0,,9,1.2,0,250,0,77,0,,,,9,,9,0,0,0.02,,,,,,,,,5,,9,,,,
100,대관령,2006-01-05 9:00,-13.1,0,0,0,1.9,0,270,0,69,0,1.4,-19.3,921.5,0,1028.2,0,0.7,0,0.38,,,2,2,Sc,4,1800,15,5,-11.9,0,,,,
100,대관령,2006-01-05 10:00,-9,0,,,2.4,0,250,0,58,0,,,,9,,9,1,0,1,,,,,,,,,5,,9,,,,
100,대관령,2006-01-05 11:00,-6.6,0,,,1.5,0,200,0,56,0,,,,9,,9,0.9,0,1.37,,,,,,,,,5,,9,,,,
100,대관령,2006-01-05 12:00,-7.6,0,0,0,0.8,0,90,0,62,0,2,-14.6,921.1,0,1025.4,0,0.3,0,0.66,,,2,2,Sc,4,1800,,5,,9,,,,
100,대관령,2006-01-05 13:00,-4.2,0,,,3.5,0,270,0,31,0,,,,9,,9,1,0,1.86,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 14:00,-3.5,0,,,2.9,0,250,0,31,0,,,,9,,9,1,0,1.87,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 15:00,-4.3,0,,,3.8,0,250,0,29,0,1.2,-20.4,919.6,0,1022.3,0,1,0,1.58,,,2,2,Sc,4,2000,15,,2.9,0,,,,
100,대관령,2006-01-05 16:00,-5.7,0,,,5.1,0,250,0,31,0,,,,9,,9,1,0,0.99,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 17:00,-7.6,0,,,5.8,0,250,0,39,0,,,,9,,9,1,0,0.39,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 18:00,-9.2,0,,,5.9,0,270,0,45,0,1.3,-20.2,919.8,0,1024.5,0,0.1,0,0.01,,,0,0,,,2000,,,,9,,,,
100,대관령,2006-01-05 19:00,-10.3,0,,,5.4,0,270,0,54,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 20:00,-11.1,0,,,6.1,0,270,0,58,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 21:00,-11.8,0,,,5.6,0,270,0,59,0,1.3,-19.7,920.6,0,1026.5,0,,9,,,,0,0,,,1800,15,,-11.1,0,,,,
100,대관령,2006-01-05 22:00,-12.4,0,,,5.2,0,270,0,61,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-05 23:00,-12.9,0,,,5.6,0,270,0,62,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 0:00,-13.7,0,,,5.2,0,270,0,64,0,1.2,-20.8,919.6,0,1026.3,0,,9,,,,0,0,,,1800,,,,9,,,,
100,대관령,2006-01-06 1:00,-14.1,0,,,6.5,0,270,0,63,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 2:00,-14.3,0,,,6.8,0,270,0,63,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 3:00,-14.7,0,,,7.1,0,270,0,63,0,1.1,-22.1,919,0,1026,0,,9,,,,0,0,,,1800,15,,-13.3,0,,,,
100,대관령,2006-01-06 4:00,-14.9,0,,,8.6,0,270,0,61,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 5:00,-15.1,0,,,7.7,0,270,0,56,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 6:00,-15.8,0,,,7.1,0,270,0,63,0,1,-23.2,916.7,0,1024,0,,9,,,,0,0,,,1800,,,,9,,,,
100,대관령,2006-01-06 7:00,-15.9,0,,,6.5,0,270,0,63,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 8:00,-15.8,0,,,6.9,0,270,0,62,0,,,,9,,9,0,0,0.01,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 9:00,-15.2,0,,,6.8,0,270,0,59,0,1,-23.4,916.4,0,1023.4,0,0.2,0,0.25,,,8,5,ScAc,4,1800,15,,-13,0,,,,
100,대관령,2006-01-06 10:00,-12.8,0,,,7.1,0,270,0,45,0,,,,9,,9,0.7,0,0.7,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 11:00,-11.7,0,,,7.7,0,290,0,39,0,,,,9,,9,0.8,0,1.16,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 12:00,-9.3,0,,,6.5,0,250,0,33,0,0.9,-23.9,915,0,1019.2,0,0.9,0,1.52,,,2,0,Ci,,2000,,,,9,,,,
100,대관령,2006-01-06 13:00,-8.9,0,,,6.7,0,250,0,32,0,,,,9,,9,1,0,1.94,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 14:00,-8.2,0,,,7.4,0,250,0,30,0,,,,9,,9,1,0,1.85,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 15:00,-9.4,0,,,8,0,250,0,36,0,1,-23,913.3,0,1017.4,0,1,0,1.52,,,0,0,,,2000,15,,-1.2,0,,,,
100,대관령,2006-01-06 16:00,-9.8,0,,,7.1,0,270,0,40,0,,,,9,,9,1,0,0.99,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 17:00,-11.4,0,,,6.9,0,250,0,46,0,,,,9,,9,1,0,0.37,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 18:00,-12.4,0,,,4.9,0,270,0,46,0,1,-23.3,914.6,0,1020.1,0,0.1,0,0.01,,,0,0,,,1800,,,,9,,,,
100,대관령,2006-01-06 19:00,-13,0,,,4.6,0,270,0,44,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 20:00,-13.7,0,,,4.4,0,250,0,47,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 21:00,-14.1,0,,,6.9,0,270,0,48,0,0.9,-24.6,916.4,0,1022.9,0,,9,,,,0,0,,,2000,15,,-12.9,0,,,,
100,대관령,2006-01-06 22:00,-14.7,0,,,5.5,0,270,0,50,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-06 23:00,-15.2,0,,,5.4,0,270,0,52,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 0:00,-15.5,0,,,5.9,0,270,0,53,0,0.8,-24.9,917.3,0,1024.5,0,,9,,,,0,0,,,2000,,,,9,,,,
100,대관령,2006-01-07 1:00,-15.9,0,,,5.4,0,270,0,54,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 2:00,-16,0,,,5,0,270,0,55,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 3:00,-15.9,0,,,6.5,0,290,0,54,0,0.8,-25.1,917.7,0,1025.1,0,,9,,,,0,0,,,1800,15,,-15,0,,,,
100,대관령,2006-01-07 4:00,-16.3,0,,,6,0,270,0,54,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 5:00,-16.2,0,,,6.5,0,270,0,55,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 6:00,-16.7,0,,,6.5,0,270,0,58,0,0.8,-25.1,917.7,0,1025.5,0,,9,,,,0,0,,,1800,,,,9,,,,
100,대관령,2006-01-07 7:00,-16.9,0,,,5.9,0,270,0,60,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 8:00,-17.7,0,,,4.9,0,270,0,65,0,,,,9,,9,0,0,0.01,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 9:00,-15,0,,,4.7,0,250,0,57,0,0.9,-23.5,919,0,1026.2,0,0.9,0,0.42,,,0,0,,,2000,15,,-14.6,0,,,,
100,대관령,2006-01-07 10:00,-11.9,0,,,5.3,0,270,0,42,0,,,,9,,9,1,0,1.02,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 11:00,-9.1,0,,,5.2,0,250,0,33,0,,,,9,,9,1,0,1.54,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 12:00,-7.9,0,,,6.4,0,250,0,29,0,0.9,-24,918.5,0,1022.5,0,1,0,1.86,,,0,0,,,2000,,,,9,,,,
100,대관령,2006-01-07 13:00,-6.5,0,,,6.2,0,270,0,28,0,,,,9,,9,1,0,1.97,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 14:00,-6.5,0,,,6.6,0,270,0,29,0,,,,9,,9,1,0,1.84,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 15:00,-7.3,0,,,7.4,0,270,0,31,0,1,-22.6,917.8,0,1021.5,0,1,0,1.54,,,0,0,,,2000,15,,0.4,0,,,,
100,대관령,2006-01-07 16:00,-8.2,0,,,5.7,0,270,0,35,0,,,,9,,9,1,0,1,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 17:00,-10.2,0,,,6.8,0,250,0,43,0,,,,9,,9,1,0,0.38,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 18:00,-11.4,0,,,6.9,0,270,0,47,0,1.1,-22,919.3,0,1025,0,0.1,0,0.02,,,0,0,,,1800,,,,9,,,,
100,대관령,2006-01-07 19:00,-11.9,0,,,4.8,0,270,0,48,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 20:00,-12.5,0,,,4.1,0,250,0,49,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 21:00,-12.6,0,,,5.8,0,270,0,49,0,1,-22.8,920.6,0,1026.9,0,,9,,,,0,0,,,1800,15,,-12.1,0,,,,
100,대관령,2006-01-07 22:00,-12.8,0,,,7.2,0,290,0,50,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-07 23:00,-13,0,,,7.8,0,290,0,52,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-08 0:00,-13.5,0,,,7,0,290,0,55,0,1,-22.4,921.1,0,1027.9,0,,9,,,,0,0,,,1800,,,,9,,,,
100,대관령,2006-01-08 1:00,-13.8,0,,,6.1,0,270,0,58,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-08 2:00,-13.7,0,,,5.6,0,270,0,58,0,,,,9,,9,,9,,,,,,,,,,,,9,,,,
100,대관령,2006-01-08 3:00,-13.6,0,,,5,0,270,0,59,0,1.1,-21.7,921.5,0,1028.4,0,,9,,,,0,0,,,1800,15,,-13.6,0,,,,
